"Well","Omit","Sample","Target","Task","Dyes","Cq","Cq.Conf","Amp.Score","Amp.Status","Annotated","Baseline.Start","Baseline.End","Tm1","Tm2","Tm3","Tm4","Curve.Quality","Result.Quality.Issues","X","Plate","Average.Cq","Diff.Cq","Order","Tech.replica","Exclude"
"K3",FALSE,"098A","1","Unknown","FAM","Undetermined",0,NA,"No Amp",FALSE,3,44,83.65877533,90.74702454,92.9563446,86.78865051,"",NA,NA,"Plate4",NA,0,43,3,"No"
"M3",FALSE,"152A","Target 1","Unknown","FAM-NFQ-MGB","Undetermined",0,NA,"No Amp",FALSE,3,44,91.93991089,87.15283966,89.08608246,84.57518005,"",NA,NA,"Plate1",NA,0,45,1,"No"
"O4",FALSE,"067A","1","Unknown","FAM","Undetermined",0,NA,"No Amp",FALSE,3,44,92.58812714,90.01058197,78.77985382,74.5453186,"",NA,NA,"Plate4",NA,0,63,3,"No"
"A5",FALSE,"109A","1","Unknown","FAM","Undetermined",0,NA,"No Amp",FALSE,3,44,90.27178955,82.81895447,87.8795166,93.86018372,"",NA,NA,"Plate4",NA,0,65,3,"No"
"C5",FALSE,"087A","1","Unknown","FAM","Undetermined",0,1.456828295,"No Amp",FALSE,3,44,80.88673401,88.98364258,85.76328278,92.75606537,"",NA,NA,"Plate4",NA,0,67,3,"No"
"G5",FALSE,"123A","1","Unknown","FAM","Undetermined",0,NA,"No Amp",FALSE,3,44,82.63493347,88.43157959,93.12410736,NA,"",NA,NA,"Plate4",NA,0,71,3,"No"
"K5",FALSE,"090A","Target 1","Unknown","FAM-NFQ-MGB","Undetermined",0,NA,"No Amp",FALSE,3,44,79.16415405,88.74847412,86.26023865,83.95631409,"",NA,NA,"Plate1",NA,0,75,1,"No"
"K5",FALSE,"137A","1","Unknown","FAM","Undetermined",0,1.870331507,"No Amp",FALSE,3,30,84.6591568,NA,NA,NA,"",NA,NA,"Plate4",NA,0,75,3,"No"
"A6",FALSE,"105A","1","Unknown","FAM","Undetermined",0,NA,"No Amp",FALSE,3,44,83.18699646,91.65194702,89.53570557,79.23055267,"",NA,NA,"Plate4",NA,0,81,3,"No"
"E6",FALSE,"171A","1","Unknown","FAM","Undetermined",0,1.396064466,"No Amp",FALSE,3,44,81.5308075,90.73184204,92.75606537,NA,"",NA,NA,"Plate4",NA,0,85,3,"No"
"I6",FALSE,"EC2","Target 1","Unknown","FAM-NFQ-MGB","Undetermined",0,NA,"No Amp",FALSE,3,22,85.52297974,87.64259338,81.92886353,91.78965759,"",NA,NA,"Plate1",NA,0,89,1,"No"
"K6",FALSE,"139A","1","Unknown","FAM","Undetermined",0,NA,"No Amp",FALSE,3,44,87.05142975,88.79962158,91.37591553,84.29112244,"",NA,NA,"Plate4",NA,0,91,3,"No"
"C7",FALSE,"070A","Target 1","Unknown","FAM-NFQ-MGB","Undetermined",0,NA,"No Amp",FALSE,3,44,89.57789612,91.78965759,81.92886353,84.140625,"",NA,NA,"Plate1",NA,0,99,1,"No"
"K7",FALSE,"069A","1","Unknown","FAM","Undetermined",0,NA,"No Amp",FALSE,3,44,87.23544312,83.00297546,74.99807739,91.37591553,"",NA,NA,"Plate4",NA,0,107,3,"No"
"A8",FALSE,"080A","Target 1","Unknown","FAM-NFQ-MGB","Undetermined",0,1.761345114,"No Amp",FALSE,3,44,79.99356079,61.93079376,86.6288681,92.06613159,"",NA,NA,"Plate1",NA,0,113,1,"No"
"C8",FALSE,"050A","Target 1","Unknown","FAM-NFQ-MGB","Undetermined",0,NA,"No Amp",FALSE,3,44,91.42103577,87.36611938,93.54064178,89.39357758,"",NA,NA,"Plate1",NA,0,115,1,"No"
"E8",FALSE,"EC3","Target 1","Unknown","FAM-NFQ-MGB","Undetermined",0,NA,"No Amp",FALSE,3,44,88.56416321,78.7955246,91.14456177,82.02101898,"",NA,NA,"Plate1",NA,0,117,1,"No"
